Age,Attrition,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,1,2,2,3,2,4,5993,8,Yes,11,3,0,8,0,1,6,4,0,5
49,No,8,1,3,2,2,2,5130,1,No,23,4,1,10,3,3,10,7,1,7
37,Yes,2,2,4,2,1,3,2090,6,Yes,15,3,0,7,3,3,0,0,0,0
33,No,3,4,4,3,1,3,2909,1,Yes,11,3,0,8,3,3,8,7,3,0
27,No,2,1,1,3,1,2,3468,9,No,12,3,1,6,3,3,2,2,2,2
32,No,2,2,4,3,1,4,3068,0,No,13,3,0,8,2,2,7,7,3,6
59,No,3,3,3,4,1,1,2670,4,Yes,20,4,3,12,3,2,1,0,0,0
30,No,24,1,4,3,1,3,2693,1,No,22,4,1,1,2,3,1,0,0,0
38,No,23,3,4,2,3,3,9526,0,No,21,4,0,10,2,3,9,7,1,8
36,No,27,3,3,3,2,3,5237,6,No,13,3,2,17,3,2,7,7,7,7
35,No,16,3,1,4,1,2,2426,0,No,13,3,1,6,5,3,5,4,0,3
29,No,15,2,4,2,2,3,4193,0,Yes,12,3,0,10,3,3,9,5,0,8
31,No,26,1,1,3,1,3,2911,1,No,17,3,1,5,1,2,5,2,4,3
34,No,19,2,2,3,1,4,2661,0,No,11,3,1,3,2,3,2,2,1,2
28,Yes,24,3,3,2,1,3,2028,5,Yes,14,3,0,6,4,3,4,2,0,3
29,No,21,4,2,4,3,1,9980,1,No,11,3,1,10,1,3,10,9,8,8
32,No,5,2,1,4,1,2,3298,0,Yes,12,3,2,7,5,2,6,2,0,5
22,No,16,2,4,4,1,4,2935,1,Yes,13,3,2,1,2,2,1,0,0,0
53,No,2,4,1,2,4,4,15427,2,No,16,3,0,31,3,3,25,8,3,7
38,No,2,3,4,3,1,4,3944,5,Yes,11,3,0,6,3,3,3,2,1,2
24,No,11,2,1,4,2,3,4011,0,No,18,3,1,5,5,2,4,2,1,3
36,Yes,9,4,3,2,1,1,3407,7,No,23,4,0,10,4,3,5,3,0,3
34,No,7,4,1,3,3,2,11994,0,No,11,3,0,13,4,3,12,6,2,11
21,No,15,2,3,3,1,4,1232,1,No,14,3,0,0,6,3,0,0,0,0
34,Yes,6,1,2,3,1,1,2960,2,No,11,3,0,8,2,3,4,2,1,3
53,No,5,3,3,3,5,3,19094,4,No,11,3,1,26,3,2,14,13,4,8
32,Yes,16,1,2,1,1,1,3919,1,Yes,22,4,0,10,5,3,10,2,6,7
42,No,8,4,3,3,2,2,6825,0,No,11,3,1,10,2,3,9,7,4,2
44,No,7,4,1,2,3,4,10248,3,No,14,3,1,24,4,3,22,6,5,17
46,No,2,4,2,3,5,1,18947,3,No,12,3,0,22,2,2,2,2,2,1
33,No,2,3,3,3,1,4,2496,4,No,11,3,0,7,3,3,1,1,0,0
44,No,10,4,4,3,2,4,6465,2,Yes,13,3,0,9,5,4,4,2,1,3
30,No,9,2,4,2,1,3,2206,1,No,13,3,0,10,5,3,10,0,1,8
39,Yes,5,3,4,3,2,4,2086,3,No,14,3,1,19,6,4,1,0,0,0
24,Yes,1,3,2,3,1,4,2293,2,Yes,16,3,1,6,2,2,2,0,2,0
43,No,2,2,4,4,1,3,2645,1,No,12,3,2,6,3,2,5,3,1,4
50,Yes,3,2,1,2,1,3,2683,1,Yes,14,3,0,3,2,3,3,2,0,2
35,No,2,3,4,3,1,4,2014,1,No,13,3,0,2,3,3,2,2,2,2
36,No,5,4,2,2,1,1,3419,9,Yes,14,3,1,6,3,4,1,1,0,0
33,No,1,3,3,4,2,1,5376,2,No,19,3,2,10,3,3,5,3,1,3
35,No,4,2,3,3,1,4,1951,1,No,12,3,1,1,3,3,1,0,0,0
27,No,2,4,4,3,1,1,2341,1,No,13,3,1,1,6,3,1,0,0,0
26,Yes,25,3,1,1,1,3,2293,1,No,12,3,0,1,2,2,1,0,0,1
27,No,8,3,4,3,3,3,8726,1,No,15,3,0,9,0,3,9,8,1,7
30,No,1,2,3,3,2,4,4011,1,No,23,4,0,12,2,3,12,8,3,7
41,Yes,12,3,2,3,5,3,19545,1,No,12,3,0,23,0,3,22,15,15,8
34,No,23,4,2,3,2,3,4568,0,No,20,4,0,10,2,3,9,5,8,7
37,No,19,2,2,3,1,2,3022,4,No,21,4,0,8,1,3,1,0,0,0
46,No,5,4,1,3,2,4,5772,4,Yes,21,4,0,14,4,3,9,6,0,8
35,No,8,1,4,4,1,4,2269,1,No,19,3,0,1,2,3,1,0,0,1
48,Yes,1,2,1,2,3,3,5381,9,Yes,13,3,0,23,2,3,1,0,0,0
28,Yes,5,4,3,3,1,3,3441,1,Yes,13,3,0,2,3,2,2,2,2,2
44,No,1,5,2,3,2,1,5454,5,Yes,21,4,1,9,2,2,4,3,1,3
35,No,11,2,3,2,3,1,9884,2,Yes,13,3,1,10,3,3,4,0,2,3
26,No,23,3,3,2,2,4,4157,7,Yes,19,3,1,5,2,2,2,2,0,0
33,No,1,2,1,3,3,4,13458,1,Yes,12,3,0,15,1,3,15,14,8,12
35,No,18,5,2,3,3,1,9069,1,No,22,4,1,9,3,2,9,8,1,8
35,No,23,4,3,3,1,1,4014,3,Yes,15,3,1,4,3,3,2,2,2,2
31,No,7,4,4,3,2,4,5915,3,No,22,4,1,10,3,2,7,7,1,7
37,No,1,4,1,2,2,3,5993,1,No,18,3,1,7,2,4,7,5,0,7
32,No,1,3,1,3,2,4,6162,1,Yes,22,4,1,9,3,3,9,8,7,8
38,No,29,5,4,3,2,4,2406,1,No,11,3,0,10,2,3,10,3,9,9
50,No,7,2,2,2,5,3,18740,5,Yes,12,3,1,29,2,2,27,3,13,8
59,No,25,3,1,3,3,1,7637,7,No,11,3,0,28,3,2,21,16,7,9
36,No,8,3,3,3,3,3,10096,1,No,13,3,3,17,2,3,17,14,12,8
55,No,8,3,4,3,4,3,14756,2,Yes,14,3,3,21,2,3,5,0,0,2
36,No,11,3,2,2,2,2,6499,1,No,13,3,0,6,3,3,6,5,0,3
45,No,7,3,2,3,3,1,9724,2,No,17,3,1,25,2,3,1,0,0,0
35,No,1,3,2,3,1,1,2194,4,No,13,3,1,5,2,2,3,2,1,2
36,Yes,9,3,4,2,1,3,3388,0,Yes,17,3,1,2,0,2,1,0,0,0
59,No,1,1,1,2,2,3,5473,7,No,11,3,0,20,2,2,4,3,1,3
29,No,2,3,3,3,1,2,2703,0,No,23,4,1,6,3,3,5,4,0,4
31,No,1,4,3,3,1,2,2501,1,No,17,3,0,1,4,3,1,1,1,0
32,No,1,3,2,3,2,2,6220,1,No,17,3,2,10,3,3,10,4,0,9
36,No,6,3,2,4,1,4,3038,3,No,12,3,0,5,3,3,1,0,0,0
31,No,8,4,3,3,2,4,4424,1,No,23,4,0,11,2,3,11,7,1,8
35,No,1,4,3,2,2,1,4312,0,No,14,3,0,16,2,3,15,13,2,8
45,No,6,4,4,3,3,1,13245,4,Yes,14,3,0,17,3,4,0,0,0,0
37,No,7,4,1,3,3,3,13664,4,No,13,3,0,16,3,4,5,2,0,2
46,No,5,2,2,3,2,2,5021,8,Yes,22,4,1,16,2,3,4,2,0,2
30,No,1,1,4,2,2,4,5126,1,Yes,12,3,2,10,1,2,10,8,3,0
35,No,1,3,2,2,1,3,2859,1,No,18,3,0,6,3,3,6,4,0,4
55,No,1,2,1,3,3,4,10239,3,No,14,3,1,24,4,3,1,0,1,0
38,No,6,3,2,1,2,4,5329,7,Yes,12,3,3,17,3,3,13,11,1,9
34,No,1,2,1,3,2,2,4325,1,No,15,3,0,5,2,3,5,2,1,3
56,No,7,3,4,1,3,4,7260,4,No,11,3,0,37,3,2,6,4,0,2
23,No,2,1,3,3,1,1,2322,3,No,13,3,1,3,3,3,0,0,0,0
51,No,9,4,4,3,1,4,2075,3,No,23,4,2,10,4,3,4,2,0,3
30,No,2,3,3,2,2,4,4152,1,No,19,3,3,11,3,3,11,10,10,8
46,Yes,9,2,3,2,3,4,9619,1,No,16,3,0,9,3,3,9,8,4,7
40,No,1,4,3,2,4,2,13503,1,No,22,4,1,22,3,2,22,3,11,11
51,No,21,4,3,3,2,4,5441,0,Yes,22,4,0,11,2,1,10,7,1,0
30,No,4,2,3,2,2,2,5209,1,Yes,12,3,3,11,4,2,11,8,2,7
46,No,1,3,3,2,3,1,10673,2,Yes,13,3,1,21,5,2,10,9,9,5
32,No,6,4,2,3,2,3,5010,1,No,16,3,0,12,0,3,11,8,5,7
54,No,2,4,1,3,3,3,13549,9,No,12,3,1,16,5,1,4,3,0,3
24,No,3,2,1,3,2,3,4999,0,No,21,4,1,4,2,2,3,2,0,2
28,No,4,3,2,3,2,3,4221,1,No,15,3,0,5,3,4,5,4,0,4
58,No,10,4,4,3,4,3,13872,0,No,13,3,0,38,1,2,37,10,1,8
44,No,23,3,2,3,2,2,2042,4,No,12,3,1,17,3,4,3,2,1,2
37,Yes,6,4,3,3,1,1,2073,4,Yes,22,4,0,7,3,3,3,2,0,2
32,No,1,1,4,3,1,1,2956,1,No,13,3,0,1,2,3,1,0,0,0
20,Yes,6,3,4,2,1,4,2926,1,Yes,18,3,0,1,5,3,1,0,1,0
34,No,6,4,1,3,2,3,4809,1,No,14,3,0,16,3,3,16,13,2,10
37,No,2,2,3,2,2,4,5163,5,No,14,3,1,17,2,4,1,0,0,0
59,No,2,4,3,2,5,4,18844,9,No,21,4,1,30,3,3,3,2,2,2
50,No,1,3,1,3,5,2,18172,3,Yes,19,3,0,28,1,2,8,3,0,7
25,Yes,5,3,3,2,2,3,5744,1,Yes,11,3,0,6,1,3,6,4,0,3
25,No,7,1,4,2,1,4,2889,1,No,11,3,2,2,2,3,2,2,2,1
22,No,15,3,2,3,1,4,2871,1,No,15,3,0,1,5,3,0,0,0,0
51,No,1,4,1,2,3,1,7484,3,No,20,4,0,23,1,2,13,12,12,8
34,Yes,7,3,1,1,2,3,6074,1,Yes,24,4,0,9,3,3,9,7,0,6
54,No,26,3,4,4,4,4,17328,2,Yes,12,3,0,23,3,3,5,3,4,4
24,No,18,1,2,3,1,3,2774,0,No,12,3,1,6,2,3,5,3,1,2
34,No,6,4,3,2,2,2,4505,6,No,15,3,1,12,3,3,1,0,0,0
37,No,3,3,3,3,3,4,7428,2,No,12,3,0,12,3,3,5,3,1,3
34,No,5,3,3,2,3,1,11631,2,No,12,3,0,14,6,3,11,10,5,8
36,No,11,2,2,3,3,4,9738,0,No,14,3,1,10,6,3,9,7,2,8
36,No,3,2,1,3,1,4,2835,5,No,22,4,1,7,2,3,1,0,0,0
43,No,26,2,3,3,4,4,16959,1,Yes,12,3,2,25,3,4,25,12,4,12
30,No,23,3,1,1,1,3,2613,1,No,25,4,3,10,2,2,10,7,0,9
33,No,22,2,3,3,2,2,6146,0,No,13,3,1,8,2,4,7,7,0,7
56,Yes,14,4,2,3,1,2,4963,9,Yes,18,3,3,7,2,3,5,4,4,3
51,No,6,3,1,3,5,3,19537,7,No,13,3,0,23,5,3,20,18,15,15
31,Yes,6,4,2,1,2,3,6172,4,Yes,18,3,0,12,3,2,7,7,7,7
26,No,6,3,3,2,1,2,2368,1,No,19,3,0,5,3,2,5,4,4,3
58,Yes,23,4,4,3,3,4,10312,1,No,12,3,1,40,3,2,40,10,15,6
19,Yes,22,1,4,3,1,3,1675,1,Yes,19,3,0,0,2,2,0,0,0,0
22,No,2,1,3,3,1,4,2523,0,No,14,3,1,3,2,3,2,1,2,1
49,No,20,4,3,3,2,1,6567,1,No,14,3,0,16,2,2,15,11,5,11
43,No,28,3,2,4,1,3,4739,4,No,12,3,0,18,2,3,3,2,1,2
50,No,12,3,3,3,3,4,9208,4,No,11,3,0,16,3,3,2,2,2,1
31,Yes,20,3,2,1,2,3,4559,3,Yes,11,3,1,4,2,3,2,2,2,2
41,No,9,1,3,3,3,3,8189,3,Yes,13,3,1,12,2,3,9,7,0,7
26,No,25,1,3,3,1,3,2942,1,No,23,4,1,8,3,3,8,7,5,7
36,No,6,2,2,3,2,2,4941,6,No,20,4,2,7,0,3,3,2,0,1
51,Yes,8,4,1,1,3,4,10650,2,No,15,3,0,18,2,3,4,2,0,3
39,No,4,4,4,2,2,3,5902,4,No,14,3,1,17,1,4,15,11,5,9
25,No,28,3,1,2,2,3,8639,2,No,18,3,0,6,3,3,2,2,2,2
30,No,9,3,3,3,2,4,6347,0,Yes,19,3,0,12,2,1,11,9,4,7
32,Yes,9,3,1,3,1,1,4200,7,No,22,4,0,10,2,4,5,4,0,4
45,No,29,3,3,3,1,4,3452,5,No,13,3,0,9,2,2,6,5,0,3
38,No,3,5,4,3,2,3,4317,3,Yes,20,4,0,19,2,3,3,2,2,2
30,No,18,3,1,3,1,3,2632,1,No,14,3,0,5,4,2,5,4,0,4
32,No,9,2,4,1,2,4,4668,0,No,17,3,3,9,2,4,8,7,0,7
30,No,5,3,4,3,1,1,3204,5,No,14,3,1,8,3,3,3,2,2,2
30,No,2,1,2,2,1,4,2720,0,No,13,3,0,6,3,3,5,3,1,2
41,No,10,3,4,2,4,1,17181,4,No,13,3,1,21,2,2,7,6,7,7
41,No,9,4,3,3,1,1,2238,2,No,21,4,1,7,2,3,5,0,1,4
19,No,3,1,2,3,1,2,1483,1,No,14,3,0,1,3,3,1,0,0,0
40,No,26,3,2,3,2,2,5605,1,No,11,3,1,20,2,3,20,7,2,13
35,No,1,5,3,3,3,2,7295,1,No,13,3,2,10,3,3,10,8,0,6
53,No,6,2,2,3,2,3,2306,2,Yes,20,4,1,13,3,1,7,7,4,5
45,No,9,3,2,3,2,2,2348,8,No,18,3,1,20,2,1,17,9,0,15
32,No,8,3,2,3,3,4,8998,1,No,14,3,0,9,2,3,9,8,3,7
29,No,1,1,4,3,2,3,4319,1,No,13,3,1,10,1,3,10,7,0,9
51,No,7,4,2,2,2,3,6132,2,No,17,3,0,10,2,3,1,0,0,0
58,No,9,3,2,2,1,2,3346,4,Yes,20,4,1,9,3,2,1,0,0,0
40,No,4,4,3,2,3,4,10855,7,No,11,3,1,15,2,2,12,11,2,11
34,No,2,4,3,3,1,3,2231,6,No,18,3,1,6,3,3,4,3,1,2
22,No,19,1,3,3,1,4,2323,1,No,24,4,2,2,6,3,2,2,2,2
27,No,9,3,4,3,1,2,2024,6,No,18,3,1,6,1,1,2,2,2,2
28,No,21,3,3,3,1,4,2713,1,No,11,3,1,5,2,1,5,2,0,2
57,No,24,2,3,4,3,4,9439,3,Yes,16,3,1,12,2,1,5,3,1,4
27,No,3,3,3,2,1,3,2566,1,Yes,15,3,1,1,2,2,1,1,0,1
50,No,11,3,3,3,5,2,19926,3,No,15,3,0,21,5,3,5,4,4,4
41,No,14,3,1,3,1,3,2451,4,No,12,3,1,13,2,3,9,8,1,8
30,No,5,3,2,3,3,4,9419,2,No,12,3,1,12,2,3,10,9,7,4
38,No,1,4,1,2,2,4,8686,4,No,22,4,0,12,2,4,8,3,0,7
32,No,6,5,3,3,1,3,3038,3,No,20,4,0,8,2,3,5,4,1,4
27,No,17,3,3,3,1,2,3058,0,Yes,16,3,1,6,3,2,5,2,1,1
19,Yes,1,1,3,1,1,1,2325,0,No,21,4,0,1,5,4,0,0,0,0
36,No,3,2,4,3,1,2,2088,4,No,12,3,0,13,3,2,8,7,7,2
30,No,9,3,3,3,2,1,3072,1,No,11,3,2,12,4,3,12,9,6,10
45,No,4,2,3,3,2,1,5006,4,Yes,11,3,1,9,3,4,5,4,0,3
56,No,8,3,3,3,1,1,4257,4,Yes,18,3,1,19,3,3,2,2,2,2
33,No,2,3,3,3,1,4,2500,0,No,14,3,0,4,2,4,3,1,0,2
19,Yes,2,3,2,2,1,4,1102,1,No,22,4,0,1,3,2,1,0,1,0
46,No,1,2,2,3,3,1,10453,1,No,25,4,3,24,2,3,24,13,15,7
38,No,9,2,3,3,1,4,2288,1,No,12,3,0,2,3,3,2,2,2,1
31,No,12,1,3,3,1,4,3929,8,Yes,23,4,1,7,0,3,4,2,0,2
34,No,27,2,4,3,1,2,2311,2,No,15,3,0,9,3,3,3,2,1,2
41,Yes,20,2,2,3,1,2,3140,1,Yes,22,4,0,4,5,2,4,3,0,2
50,No,1,3,3,2,1,3,3690,2,No,15,3,1,5,2,2,3,2,0,2
53,No,13,2,4,4,2,1,4450,1,No,11,3,2,5,3,3,4,2,1,3
33,No,14,3,4,3,1,2,2756,1,No,13,3,1,8,5,3,8,7,1,6
40,No,4,1,4,3,5,3,19033,1,No,14,3,1,21,2,3,20,8,9,9
55,No,14,4,3,4,5,2,18722,8,No,11,3,0,36,3,3,24,15,2,15
34,No,2,1,4,2,2,3,9547,1,No,17,3,0,10,2,2,10,9,1,9
51,No,3,3,4,3,4,2,13734,3,No,18,3,0,21,6,3,7,7,1,0
52,No,1,4,3,2,5,3,19999,0,No,14,3,1,34,5,3,33,18,11,9
27,No,9,3,4,3,1,2,2279,1,No,16,3,0,7,2,2,7,7,0,3
35,Yes,23,2,2,2,2,3,5916,3,Yes,13,3,0,8,1,3,1,0,0,1
43,No,7,3,4,4,1,4,2089,4,No,14,3,3,7,3,4,5,4,2,2
45,No,2,2,1,2,4,4,16792,9,No,23,4,1,22,1,3,20,8,11,8
37,No,21,3,2,4,1,1,3564,1,Yes,12,3,1,8,3,2,8,7,1,7
35,No,2,3,2,3,2,2,4425,5,No,11,3,0,10,5,3,6,2,1,2
42,No,21,2,3,3,2,3,5265,2,No,16,3,1,11,5,3,5,3,0,2
38,No,2,4,4,3,2,3,6553,9,No,14,3,0,14,3,3,1,0,0,0
38,No,29,3,4,3,2,4,6261,3,No,18,3,1,9,3,1,7,7,1,7
27,No,1,1,3,2,2,1,4298,5,No,19,3,1,6,1,3,2,2,2,0
49,No,18,4,4,3,2,4,6804,1,Yes,15,3,2,7,0,3,7,7,1,7
34,No,10,4,4,3,1,3,3815,1,Yes,17,3,1,5,4,4,5,3,2,0
40,No,19,2,3,3,2,4,2741,8,Yes,15,3,1,15,2,4,7,2,3,7
38,Yes,29,1,2,3,2,1,6673,7,Yes,19,3,0,17,2,3,1,0,0,0
29,Yes,27,3,2,3,3,4,7639,1,No,22,4,3,10,3,2,10,4,1,9
22,No,5,3,4,4,1,2,2328,1,Yes,16,3,1,4,2,2,4,2,2,2
36,No,18,1,2,3,1,4,2153,1,No,13,3,0,8,2,3,8,1,1,7
40,No,9,5,4,2,2,4,4876,9,No,14,3,1,5,5,1,3,2,0,2
46,No,1,4,4,3,3,1,9396,7,No,16,3,1,17,3,3,4,2,0,3
32,Yes,4,4,4,1,3,4,10400,1,No,11,3,0,14,2,2,14,8,9,8
30,No,1,1,3,2,3,3,8474,1,No,22,4,0,12,2,3,11,8,5,8
27,No,20,3,4,3,2,3,9981,1,No,14,3,0,7,2,3,7,7,0,7
51,No,8,4,2,2,3,2,12490,5,No,16,3,2,16,5,1,10,9,4,7
30,Yes,3,3,4,3,1,1,2657,5,Yes,11,3,0,8,5,3,5,2,0,4
41,No,6,3,4,3,3,4,13591,3,Yes,18,3,0,16,3,3,1,0,0,0
30,Yes,26,4,3,2,2,1,6696,5,No,15,3,0,9,5,2,6,3,0,1
29,Yes,1,3,3,3,1,3,2058,0,No,14,3,0,7,1,2,6,2,1,5
45,No,6,3,4,2,3,4,8865,6,No,12,3,0,23,2,3,19,7,12,8
54,No,3,3,4,3,2,1,5940,2,No,14,3,1,16,4,3,6,2,0,5
36,No,5,2,4,3,2,2,5914,8,No,16,3,0,16,3,4,13,11,3,7
33,No,4,4,3,2,1,2,2622,6,No,21,4,0,7,3,3,3,2,1,1
37,No,11,3,2,3,3,4,12185,1,Yes,14,3,3,10,1,3,10,8,0,7
38,No,3,3,1,3,3,3,10609,0,No,12,3,2,17,6,2,16,10,5,13
31,No,1,4,3,1,2,3,4345,0,No,12,3,1,6,2,3,5,4,1,4
59,No,3,3,3,2,1,4,2177,3,No,17,3,1,7,6,3,1,0,0,0
37,No,4,4,1,3,1,4,2793,4,No,17,3,1,13,2,3,9,8,5,8
29,No,1,1,2,3,3,4,7918,1,No,14,3,1,11,5,3,11,10,4,1
35,No,1,3,3,3,3,3,8789,1,No,14,3,0,10,3,4,10,7,0,8
29,Yes,18,1,3,2,1,4,2389,1,Yes,13,3,0,4,3,2,4,3,0,1
52,No,2,3,3,2,1,4,3212,7,No,15,3,0,6,3,2,2,2,2,2
42,No,4,2,3,3,5,4,19232,1,No,11,3,0,22,3,3,22,17,11,15
59,No,6,2,2,3,1,3,2267,8,No,17,3,0,7,2,2,2,2,2,2
50,No,1,4,4,3,5,4,19517,3,No,11,3,1,32,3,2,7,0,0,6
33,Yes,14,3,3,3,1,4,2436,5,Yes,13,3,1,8,2,1,5,4,0,4
43,No,16,3,4,3,4,4,16064,5,Yes,22,4,1,22,3,3,17,13,1,9
33,Yes,2,2,1,3,1,1,2707,7,No,20,4,0,13,3,4,9,7,1,7
52,No,2,4,1,2,5,3,19068,1,Yes,18,3,0,33,2,4,33,7,15,12
32,No,4,2,3,3,1,2,3931,2,No,11,3,1,6,5,3,4,3,1,2
32,Yes,1,3,4,2,1,3,3730,0,Yes,14,3,0,4,2,1,3,2,1,2
39,No,1,4,3,3,1,3,2232,7,No,14,3,3,7,1,3,3,2,1,2
32,No,26,4,3,3,2,4,4465,0,No,18,3,0,4,2,3,3,2,2,2
41,No,19,2,3,3,2,1,3072,2,No,16,3,2,17,2,2,1,0,0,0
40,No,24,2,1,3,2,4,3319,1,No,17,3,2,9,3,3,9,8,4,7
45,No,1,3,3,4,5,4,19202,0,No,11,3,1,25,2,3,24,0,1,7
31,No,3,4,2,3,3,3,13675,9,No,12,3,1,9,3,3,2,2,2,2
33,No,5,4,3,2,1,4,2911,1,No,13,3,1,2,2,2,2,2,0,2
34,No,2,4,4,2,2,1,5957,6,No,13,3,1,13,3,3,11,9,5,9
37,No,1,2,3,2,1,1,3920,2,No,14,3,1,17,2,2,3,1,0,2
45,No,7,4,1,4,2,3,6434,4,No,17,3,1,9,1,3,3,2,0,2
37,Yes,10,3,1,3,3,3,10048,6,No,11,3,2,17,5,3,1,0,0,0
39,No,2,4,3,3,3,3,10938,0,No,25,4,0,20,1,3,19,6,11,8
29,No,15,3,3,3,1,4,2340,1,No,19,3,0,6,1,3,6,5,1,5
42,No,17,2,4,4,2,1,6545,3,Yes,13,3,0,10,1,3,3,2,0,2
29,No,20,2,4,3,2,4,6931,2,No,14,3,1,10,2,3,3,2,0,2
25,No,1,3,1,3,2,3,4898,0,No,12,3,2,5,3,3,4,2,1,2
42,No,2,3,4,2,1,1,2593,0,Yes,11,3,1,10,4,3,9,6,7,8
40,No,2,2,1,3,5,3,19436,0,No,19,3,1,22,5,3,21,7,3,9
51,No,1,3,3,3,1,4,2723,1,No,11,3,0,1,0,2,1,0,0,0
31,Yes,29,2,3,2,1,2,3479,0,No,11,3,0,6,2,4,5,4,1,4
32,No,7,3,2,4,1,2,2794,1,No,20,4,0,5,3,1,5,1,0,3
38,No,2,2,4,2,2,4,5249,3,No,18,3,1,13,0,3,8,7,7,5
32,No,2,1,4,2,2,1,2176,4,No,13,3,0,9,5,3,6,2,0,4
46,No,2,3,3,1,4,2,16872,3,Yes,12,3,1,28,2,2,7,7,7,7
28,Yes,2,4,1,3,1,3,3485,2,No,11,3,0,5,5,1,0,0,0,0
29,No,2,3,1,2,2,2,6644,2,No,19,3,2,10,2,3,0,0,0,0
31,No,23,3,2,2,2,4,5582,0,No,21,4,1,10,2,3,9,0,7,8
25,No,5,2,2,4,2,1,4000,1,No,12,3,2,6,2,3,6,3,1,5
45,No,20,2,3,3,4,4,13496,0,Yes,14,3,0,21,2,3,20,7,4,10
36,No,6,3,4,3,1,4,3210,0,No,11,3,1,16,4,3,15,13,10,11
55,No,1,3,4,3,5,1,19045,0,Yes,14,3,0,37,2,3,36,10,4,13
47,Yes,29,4,1,3,3,2,11849,1,Yes,12,3,1,10,2,2,10,7,9,9
28,No,9,3,4,3,1,4,2070,1,No,23,4,1,5,3,2,5,2,0,4
37,No,6,4,3,3,2,4,6502,4,No,14,3,1,7,5,4,5,4,0,1
21,No,3,2,4,2,1,3,3230,1,No,17,3,0,3,4,4,3,2,1,0
37,No,1,4,1,3,3,4,13603,2,Yes,18,3,2,15,2,3,5,2,0,2
35,No,22,3,2,4,3,2,11996,7,No,18,3,1,10,6,2,7,7,6,2
38,No,7,2,1,4,2,1,5605,1,Yes,24,4,1,8,3,3,8,0,7,7
26,No,1,3,3,3,2,2,6397,1,No,20,4,1,6,6,1,6,5,1,4
50,No,4,1,1,3,5,2,19144,3,No,14,3,2,28,4,2,10,4,1,6
53,No,3,4,3,3,4,3,17584,3,Yes,16,3,3,21,5,2,5,3,1,3
42,No,1,1,2,3,2,3,4907,1,No,25,4,0,20,3,3,20,16,11,6
29,No,2,2,2,3,2,4,4554,1,No,18,3,0,10,3,2,10,7,0,9
55,No,20,2,2,3,2,4,5415,3,Yes,19,3,1,12,4,3,10,7,0,8
26,No,11,2,1,3,2,1,4741,1,Yes,13,3,1,5,3,3,5,3,3,3
37,No,1,3,4,3,1,4,2115,1,No,12,3,0,17,3,3,17,12,5,7
44,Yes,24,3,4,3,1,3,3161,3,Yes,22,4,1,19,0,1,1,0,0,0
38,No,23,4,4,3,2,4,5745,9,No,14,3,1,10,2,3,2,2,1,2
