Age,Attrition,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
26,Yes,16,4,1,3,1,2,2373,2,Yes,13,3,1,5,2,3,3,2,0,2
28,No,8,2,4,3,1,4,3310,1,No,21,4,0,5,3,3,5,3,0,2
49,No,10,4,3,3,5,1,18665,9,Yes,11,3,0,22,4,3,3,2,1,2
36,No,3,3,3,3,2,2,4485,4,No,12,3,0,10,2,3,8,0,7,7
31,No,5,3,4,3,1,2,2789,1,No,11,3,1,2,5,2,2,2,2,2
26,Yes,4,4,4,2,2,4,5828,1,Yes,12,3,0,8,0,3,8,7,7,4
37,No,9,3,2,3,1,4,2326,1,Yes,12,3,3,4,3,2,4,2,1,2
42,No,26,3,3,3,4,2,13525,5,No,14,3,1,23,2,4,20,4,4,8
18,Yes,3,3,3,3,1,3,1420,1,No,13,3,0,0,2,3,0,0,0,0
35,No,16,3,3,3,3,2,8020,0,No,15,3,2,12,3,2,11,9,6,9
36,No,18,4,3,4,1,4,3688,4,No,18,3,2,4,2,3,1,0,0,0
51,No,2,3,4,1,2,2,5482,5,No,18,3,1,13,3,3,4,1,1,2
41,No,2,4,4,3,4,2,16015,1,No,19,3,0,22,2,3,22,10,0,4
18,No,10,3,4,2,1,3,1200,1,No,12,3,0,0,2,3,0,0,0,0
28,No,16,2,2,4,2,1,5661,0,No,19,3,0,9,2,3,8,3,0,7
31,No,7,3,2,4,2,4,6929,4,No,11,3,1,10,3,2,8,7,7,7
39,No,1,3,3,4,3,4,9613,0,No,17,3,3,19,5,2,18,10,3,7
36,No,24,4,2,3,2,2,5674,7,No,15,3,1,11,3,3,9,8,0,8
32,No,7,3,4,2,2,3,5484,1,No,14,3,1,13,3,2,13,8,4,8
38,No,25,2,1,2,3,2,12061,3,No,17,3,1,19,2,3,10,8,0,1
58,No,1,4,4,1,2,3,5660,2,Yes,13,3,1,12,2,3,5,3,1,2
31,No,5,4,3,3,1,4,4821,0,Yes,12,3,1,6,4,3,5,2,0,3
31,No,2,3,1,2,2,1,6410,3,No,12,3,0,9,1,3,2,2,1,0
45,No,7,3,1,3,3,1,5210,1,No,18,3,1,24,2,3,24,9,9,11
31,No,2,4,3,3,1,4,2695,0,Yes,18,3,1,3,2,1,2,2,2,2
33,No,5,4,4,3,3,2,11878,6,No,11,3,2,12,2,3,10,6,8,8
39,No,10,1,3,3,4,1,17068,1,Yes,14,3,0,21,3,3,21,9,11,10
43,No,10,4,3,3,1,4,2455,0,No,19,3,0,9,5,3,8,7,1,7
49,No,1,2,3,2,4,3,13964,7,Yes,12,3,0,25,2,3,7,1,0,7
52,Yes,8,4,3,2,2,2,4941,2,No,15,3,0,11,3,2,8,2,7,7
27,No,5,3,3,3,1,2,2478,1,Yes,12,3,0,4,2,2,4,3,1,2
32,No,8,2,3,2,2,2,5228,1,Yes,11,3,0,13,2,3,13,12,11,9
27,No,2,3,4,3,2,3,4478,1,Yes,11,3,0,5,3,3,5,4,0,4
31,No,7,3,4,3,2,4,7547,4,No,12,3,3,13,3,3,7,7,1,7
32,No,2,4,1,4,2,4,5055,7,No,16,3,0,10,0,2,7,7,0,7
28,Yes,2,4,1,1,1,4,3464,5,Yes,13,3,0,5,4,2,3,2,2,2
30,No,28,2,4,3,2,4,5775,1,No,13,3,2,11,2,3,10,8,1,9
31,No,7,2,3,2,3,3,8943,1,No,24,4,1,10,2,3,10,9,8,9
39,No,7,2,3,2,5,4,19272,1,No,15,3,1,21,2,3,21,9,13,3
39,Yes,3,2,4,3,2,3,5238,4,Yes,18,3,0,12,3,2,1,0,0,0
33,No,10,3,2,2,2,4,4682,3,No,14,3,0,9,6,2,7,7,0,1
47,No,5,5,4,3,5,3,18300,4,No,11,3,1,21,2,3,3,2,1,1
43,No,10,4,3,2,2,3,5257,1,No,11,3,1,9,3,4,9,7,0,0
27,No,1,1,3,3,2,2,6349,0,Yes,13,3,1,6,0,3,5,4,1,4
54,No,20,4,4,3,2,3,4869,3,No,12,3,0,20,4,2,4,3,0,3
43,No,7,3,3,3,3,1,9985,8,No,16,3,1,10,1,2,1,0,0,0
45,No,8,4,4,3,2,4,3697,9,No,14,3,2,12,3,3,10,9,9,8
40,No,1,2,2,1,2,4,7457,2,Yes,22,4,3,6,2,2,4,3,0,2
29,Yes,8,4,2,1,1,1,2119,1,Yes,11,3,0,7,4,2,7,7,0,7
29,No,9,5,2,2,1,4,3983,0,No,17,3,0,4,2,3,3,2,2,2
30,No,5,3,4,2,2,3,6118,1,No,13,3,3,10,2,3,10,9,1,2
27,No,8,4,2,3,2,2,6214,1,No,18,3,1,8,3,3,8,7,0,7
37,No,5,2,4,3,2,4,6347,7,No,16,3,2,8,2,2,6,2,0,4
38,No,15,2,3,2,3,4,11510,0,Yes,14,3,1,12,3,3,11,10,2,9
31,No,7,4,3,3,3,4,7143,1,Yes,14,3,0,11,2,2,11,9,4,10
29,No,10,1,4,2,2,2,8268,1,Yes,14,3,2,7,2,3,7,7,1,7
35,No,5,4,3,3,3,2,8095,0,No,13,3,0,17,5,3,16,6,0,13
23,No,26,1,3,3,1,4,2904,1,No,12,3,2,4,2,2,4,2,0,2
41,No,6,3,4,2,2,2,6032,6,Yes,15,3,0,8,3,3,5,4,1,2
47,No,4,1,2,3,2,3,2976,3,No,19,3,0,5,3,3,0,0,0,0
42,No,23,5,1,3,4,4,15992,2,No,14,3,0,16,2,3,1,0,0,0
29,No,2,3,4,3,2,3,4649,1,No,14,3,1,4,3,2,4,3,0,2
42,No,2,1,3,3,1,3,2696,0,Yes,11,3,1,4,5,3,3,2,1,0
32,No,2,3,3,3,1,2,2370,1,No,13,3,1,8,4,3,8,0,0,7
48,No,29,1,1,3,3,3,12504,3,No,21,4,1,15,3,1,0,0,0,0
37,No,6,3,3,4,2,1,5974,4,Yes,13,3,2,13,2,3,7,7,6,7
30,No,25,2,4,3,2,3,4736,7,Yes,12,3,1,4,2,4,2,2,2,2
26,No,1,3,3,3,2,3,5296,1,No,17,3,1,8,3,3,8,7,7,7
42,No,2,4,1,2,2,4,6781,3,No,23,4,0,14,6,3,1,0,0,0
21,Yes,1,1,1,2,1,2,2174,1,Yes,11,3,0,3,3,3,3,2,1,2
36,No,1,5,4,3,2,4,6653,4,No,15,3,0,7,6,3,1,0,0,0
36,No,3,4,1,2,3,4,9699,4,No,11,3,1,16,2,3,13,9,1,12
57,No,1,4,4,3,2,3,6755,2,No,11,3,0,15,2,3,3,2,1,2
40,No,10,4,4,4,1,3,2213,3,Yes,13,3,1,10,3,3,7,7,1,7
21,No,9,2,1,3,1,4,2610,1,No,24,4,0,3,3,2,3,2,2,2
33,Yes,5,3,4,3,1,3,2851,1,Yes,13,3,0,1,2,3,1,0,0,0
37,No,10,3,3,3,1,1,3452,6,No,20,4,1,17,3,3,5,4,0,3
46,No,7,4,3,3,2,3,5258,2,No,14,3,0,7,2,4,1,0,0,0
41,Yes,4,3,1,3,2,2,9355,1,No,18,3,0,8,5,3,8,7,7,7
50,No,10,3,4,2,3,4,10496,6,No,15,3,0,20,2,3,4,3,1,3
40,Yes,22,2,3,2,2,3,6380,2,Yes,12,3,2,8,6,3,6,4,1,0
31,No,9,4,3,2,1,2,2657,0,Yes,16,3,0,3,5,3,2,2,2,2
21,Yes,12,3,3,4,1,2,2716,1,No,15,3,0,1,0,3,1,0,0,0
29,No,23,3,4,3,1,4,2201,9,No,16,3,0,6,4,3,3,2,1,2
35,No,9,4,3,2,2,2,6540,9,No,19,3,0,10,5,3,1,1,0,0
27,No,1,2,4,3,1,2,3816,1,No,11,3,1,5,2,3,5,2,0,4
28,No,9,4,2,3,2,4,5253,1,No,16,3,0,7,1,3,7,5,0,7
49,No,7,3,2,2,3,3,10965,8,No,24,4,0,26,2,3,5,2,0,0
51,No,14,2,3,3,2,4,4936,4,No,11,3,1,18,2,2,7,7,0,7
36,No,2,3,4,3,1,3,2543,4,No,13,3,1,6,3,3,2,2,2,2
34,Yes,19,3,1,4,2,4,5304,8,Yes,13,3,0,9,3,2,5,2,0,4
55,No,2,3,3,3,4,4,16659,2,Yes,13,3,0,30,2,3,5,4,1,2
24,No,10,4,4,3,2,3,4260,1,Yes,12,3,1,5,2,4,5,2,0,3
30,No,2,1,3,3,1,2,2476,1,No,18,3,1,1,3,3,1,0,0,0
26,Yes,3,1,3,3,1,1,3102,0,No,22,4,0,7,2,3,6,4,0,4
22,No,11,3,1,3,1,2,2244,1,No,13,3,1,2,1,3,2,1,1,2
36,No,2,2,2,2,3,3,7596,1,No,13,3,2,10,2,3,10,9,9,0
30,Yes,4,3,3,3,1,4,2285,9,Yes,23,4,0,3,4,3,1,0,0,0
37,No,14,3,4,3,1,1,3034,1,No,12,3,1,18,2,2,18,7,12,17
40,No,2,2,4,3,2,2,5715,7,No,12,3,2,8,5,3,5,4,1,3
42,No,1,4,2,3,1,1,2576,3,No,16,3,1,8,5,3,5,2,1,2
37,No,10,4,3,3,2,2,4197,2,Yes,12,3,0,18,2,2,1,0,0,1
43,No,12,3,1,2,4,2,14336,1,No,11,3,1,25,3,3,25,10,3,9
40,No,2,3,2,2,2,3,3448,6,No,22,4,1,20,3,3,1,0,0,0
54,No,5,2,1,3,5,1,19406,4,No,11,3,1,24,4,2,4,2,1,2
34,No,4,4,3,3,2,3,6538,9,No,15,3,1,6,3,3,3,2,1,2
31,No,7,2,2,3,2,1,4306,1,No,12,3,1,13,5,1,13,10,3,12
43,No,21,3,4,3,1,4,2258,7,No,20,4,1,8,1,3,3,2,1,2
43,No,8,4,3,3,2,3,4522,4,Yes,14,3,0,8,3,3,5,2,0,2
25,No,4,2,2,2,2,4,4487,1,Yes,11,3,0,5,3,3,5,4,1,3
37,No,25,5,2,3,2,3,4449,3,Yes,15,3,2,15,2,3,13,11,10,7
31,No,1,2,4,2,1,1,2218,1,No,12,3,1,4,3,3,4,2,3,2
39,No,1,1,2,3,5,3,19197,1,Yes,14,3,1,21,3,3,21,8,1,6
56,No,6,3,3,4,4,1,13212,9,No,11,3,3,36,0,2,7,7,7,7
30,No,12,3,2,3,2,3,6577,0,No,11,3,0,6,6,3,5,4,4,4
41,No,1,3,2,4,3,1,8392,1,No,16,3,1,10,2,3,10,7,0,7
28,No,17,2,3,3,2,1,4558,1,No,12,3,1,10,2,3,10,0,1,8
25,Yes,3,3,1,3,1,1,4031,5,No,13,3,1,6,5,3,2,2,0,2
52,No,3,3,4,2,3,3,7969,2,Yes,14,3,0,28,4,3,5,4,0,4
45,No,10,2,1,3,1,4,2654,3,No,21,4,2,8,3,2,2,2,0,2
52,No,4,2,4,3,4,4,16555,2,No,13,3,0,31,2,1,5,2,1,4
42,No,29,2,1,3,2,3,4556,2,No,11,3,1,19,3,3,5,4,0,2
30,No,2,3,3,1,2,4,6091,2,No,20,4,0,11,2,3,5,4,0,2
60,No,7,3,1,3,5,1,19566,5,No,11,3,0,33,5,1,29,8,11,10
46,No,18,3,3,3,2,3,4810,2,No,14,3,1,19,5,2,10,7,0,8
42,No,28,4,4,2,2,4,4523,0,No,11,3,3,7,4,4,6,5,0,4
24,Yes,1,1,1,3,1,2,3202,1,Yes,16,3,0,6,4,3,5,3,1,4
34,Yes,6,2,4,1,1,3,2351,0,No,16,3,1,3,3,2,2,2,1,0
38,No,2,2,4,3,1,4,1702,1,Yes,23,4,1,1,3,3,1,0,0,0
40,No,2,4,3,3,5,3,18041,0,No,14,3,0,21,2,3,20,15,1,12
26,No,23,3,1,3,1,4,2886,1,No,22,4,2,3,3,1,3,2,0,2
30,No,3,3,3,3,1,4,2097,4,No,15,3,1,9,3,1,5,3,1,4
29,No,3,4,2,2,3,3,11935,1,No,18,3,0,10,2,3,10,2,0,7
29,Yes,25,5,3,2,1,2,2546,5,No,16,3,0,6,2,4,2,2,1,1
19,Yes,2,2,1,2,1,4,2564,1,No,12,3,0,1,3,4,1,0,0,0
30,No,22,4,3,3,3,1,8412,0,No,11,3,0,10,3,3,9,8,7,8
57,No,29,3,1,2,4,4,14118,3,No,12,3,1,32,3,2,1,0,0,0
50,No,29,4,2,2,4,3,17046,0,No,15,3,1,28,2,3,27,10,15,7
30,No,2,3,3,3,1,4,2564,0,No,14,3,0,12,2,2,11,7,6,7
60,No,28,3,3,2,3,1,10266,4,No,19,3,0,22,5,4,18,13,13,11
47,No,2,2,1,3,2,4,5070,5,No,13,3,3,20,2,3,5,0,0,4
46,No,2,3,1,3,4,3,17861,6,No,13,3,0,26,2,1,3,2,0,1
35,No,22,3,4,1,1,3,4230,0,No,15,3,0,6,2,3,5,4,4,3
54,No,8,4,3,3,2,3,3780,7,No,11,3,0,19,3,3,1,0,0,0
34,No,2,4,4,2,1,3,2768,3,No,12,3,1,14,3,3,7,3,5,7
46,No,10,3,3,2,3,4,9071,2,Yes,19,3,1,15,3,3,3,2,1,2
31,No,9,1,3,3,3,2,10648,1,No,25,4,1,13,6,4,13,8,0,8
33,Yes,15,1,2,3,3,3,13610,7,Yes,12,3,0,15,2,4,7,6,7,7
33,Yes,10,1,1,1,1,4,3408,7,No,13,3,3,8,2,3,4,3,1,3
30,No,7,1,4,3,1,2,2983,0,No,14,3,0,4,3,3,3,2,1,2
35,No,16,3,4,3,3,3,7632,4,Yes,12,3,0,10,2,3,8,7,0,0
31,Yes,20,3,1,3,3,3,9824,3,No,12,3,0,12,2,3,1,0,0,0
34,Yes,23,3,2,3,3,1,9950,9,Yes,15,3,3,11,2,3,3,2,0,2
42,No,5,2,2,3,1,3,2093,4,No,17,3,1,8,4,3,2,2,2,0
36,No,10,4,2,3,3,4,9980,1,No,14,3,0,10,3,2,10,3,9,7
22,Yes,4,1,3,2,1,3,3894,5,No,16,3,0,4,3,3,2,2,1,2
48,No,2,5,2,3,2,4,4051,2,No,14,3,1,14,2,3,9,7,6,7
55,No,18,5,1,3,4,2,16835,3,No,23,4,0,37,2,3,10,9,7,7
41,No,10,2,4,3,2,4,6230,7,No,14,3,0,16,3,3,14,3,1,10
35,No,1,3,2,3,2,3,4717,9,No,11,3,0,15,2,3,11,9,6,9
40,No,6,3,2,3,4,3,13237,7,No,15,3,0,22,3,3,20,6,5,13
39,No,8,1,3,3,1,3,3755,1,No,11,3,1,8,3,3,8,3,0,7
31,No,2,1,2,3,2,4,6582,4,Yes,13,3,0,10,2,4,6,5,0,5
42,No,24,3,4,3,3,1,7406,1,Yes,21,4,1,10,5,2,10,9,5,8
45,No,2,3,4,3,2,2,4805,0,No,19,3,1,9,3,4,8,7,3,7
26,Yes,17,4,2,3,1,3,2741,0,Yes,11,3,1,8,2,2,7,7,1,0
29,No,19,3,4,3,2,4,4262,4,No,12,3,2,8,2,4,3,2,1,2
33,No,1,5,1,4,4,3,16184,4,No,19,3,1,10,2,3,6,1,0,5
31,No,7,3,3,2,3,4,11557,9,No,21,4,1,10,3,2,5,4,0,1
18,Yes,5,3,2,3,1,2,1878,1,Yes,14,3,0,0,3,3,0,0,0,0
40,No,28,3,3,1,3,1,10932,3,No,15,3,1,20,2,3,1,0,0,1
41,No,2,4,1,2,2,3,6811,2,Yes,17,3,0,10,3,3,8,7,0,7
26,No,29,2,1,3,2,3,4306,5,No,12,3,2,8,5,3,0,0,0,0
35,No,1,3,1,3,2,3,4859,1,No,16,3,0,5,3,3,5,4,0,3
34,No,21,4,4,4,2,4,5337,1,No,12,3,0,10,3,3,10,7,5,7
26,Yes,24,3,3,1,1,4,2340,1,Yes,18,3,0,1,3,1,1,0,0,0
37,No,1,3,2,3,3,4,7491,4,No,17,3,0,12,3,4,6,5,1,2
46,No,18,1,1,3,3,3,10527,5,No,11,3,0,28,3,2,2,2,1,2
41,No,2,5,2,3,4,1,16595,7,No,16,3,1,22,2,3,18,16,11,8
37,No,9,4,1,3,3,2,8834,1,No,13,3,1,9,6,3,9,5,7,7
52,No,6,2,4,3,2,1,5577,3,Yes,12,3,2,18,3,3,10,9,6,9
32,Yes,11,4,4,4,2,3,4707,8,No,12,3,0,6,2,3,4,2,1,2
24,No,24,3,4,3,1,4,2400,0,No,13,3,2,3,3,3,2,2,2,1
38,No,10,3,3,3,2,3,9824,3,No,19,3,1,18,4,3,1,0,0,0
37,No,1,4,2,3,2,2,6447,6,No,12,3,1,8,2,2,6,5,4,3
49,No,18,4,4,2,5,3,19502,1,Yes,17,3,1,31,5,3,31,9,0,9
24,No,23,3,2,4,1,4,2725,1,Yes,11,3,2,6,3,3,6,5,1,4
26,No,28,2,1,3,2,2,6272,1,No,20,4,2,6,5,4,5,3,1,4
24,No,17,2,4,2,1,2,2127,1,No,21,4,1,1,2,3,1,0,0,0
50,No,3,3,1,3,5,2,18200,1,No,11,3,1,32,2,3,32,5,10,7
25,No,13,1,2,3,1,3,2096,1,No,11,3,0,7,1,3,7,4,0,6
24,Yes,7,3,1,3,1,3,2886,1,Yes,16,3,1,6,4,3,6,3,1,2
30,Yes,12,4,2,2,1,1,2033,1,No,18,3,1,1,2,4,1,0,0,0
34,No,1,2,2,2,1,4,3622,1,Yes,13,3,1,6,3,3,6,5,1,3
31,Yes,13,4,2,3,2,1,4233,2,No,17,3,0,9,2,1,3,1,1,2
35,No,25,2,1,2,2,4,3681,4,No,14,3,0,9,3,3,3,2,0,2
31,No,6,4,1,4,2,4,5460,4,No,22,4,2,13,4,4,7,7,5,7
27,No,6,4,1,2,1,3,2187,0,No,12,3,2,6,5,2,5,3,0,3
37,No,2,3,4,3,2,3,9602,4,Yes,11,3,1,17,3,2,3,0,1,0
20,No,1,3,4,2,1,2,2836,1,No,13,3,0,1,0,4,1,0,0,0
42,No,2,4,3,3,2,4,4089,1,No,13,3,2,10,4,3,10,2,2,2
43,No,6,4,2,2,4,4,16627,4,Yes,14,3,1,21,3,2,1,0,0,0
38,No,1,1,3,3,1,1,2619,3,No,17,3,0,8,3,2,0,0,0,0
43,No,9,5,4,3,2,3,5679,3,Yes,13,3,1,10,3,3,8,7,4,7
48,No,1,4,4,2,4,1,15402,7,No,11,3,1,21,3,1,3,2,0,2
44,No,1,4,1,2,2,3,5985,4,No,11,3,0,10,1,4,2,2,0,2
34,No,14,3,3,3,1,3,2579,1,Yes,18,3,2,8,3,3,8,2,0,6
27,Yes,2,1,3,3,1,1,3041,0,No,11,3,1,5,3,3,4,3,0,2
21,No,22,1,3,3,1,3,3447,1,No,11,3,0,3,2,3,3,2,1,2
44,No,3,4,4,3,5,4,19513,4,Yes,12,3,1,26,2,4,2,2,0,1
22,No,6,1,1,3,1,3,2773,0,No,20,4,0,3,3,3,2,2,2,2
33,No,8,4,3,3,2,3,7104,0,No,12,3,0,6,3,3,5,0,1,2
32,No,9,4,1,3,2,4,6322,1,Yes,12,3,1,6,2,2,6,4,0,5
30,No,3,3,3,3,1,3,2083,1,No,20,4,1,1,2,3,1,0,0,0
53,No,1,1,4,3,2,1,8381,7,No,20,4,0,18,2,4,14,7,8,10
34,No,1,5,2,3,1,4,2691,1,No,12,3,1,10,4,2,10,9,8,8
45,Yes,26,4,1,3,2,1,4286,2,No,14,3,2,5,4,3,1,1,0,0
26,No,6,3,3,3,1,4,2659,1,Yes,13,3,1,3,2,3,3,2,0,2
37,No,3,3,3,3,3,3,9434,1,No,15,3,1,10,2,3,10,7,7,8
29,No,3,2,2,3,2,3,5561,1,No,14,3,1,6,5,2,6,0,1,2
35,No,6,4,2,1,2,4,6646,1,No,13,3,0,17,3,3,17,11,11,8
33,No,6,3,3,3,2,4,7725,3,No,23,4,1,15,2,1,13,11,4,7
54,No,19,4,3,3,3,2,10725,2,No,15,3,1,16,1,4,9,7,7,1
36,No,9,2,2,2,2,2,8847,2,Yes,11,3,1,13,2,3,3,2,0,2
27,No,3,4,1,2,1,4,2045,0,No,13,3,0,5,0,3,4,2,1,1
20,Yes,10,1,4,3,1,3,1009,1,Yes,11,3,0,1,5,3,1,0,1,1
33,Yes,3,3,1,3,1,1,3348,1,Yes,11,3,0,10,3,3,10,8,9,7
35,No,3,3,3,2,1,3,1281,1,No,18,3,2,1,3,3,1,0,0,0
23,No,4,3,1,4,1,1,2819,2,No,16,3,1,5,3,4,3,2,0,2
25,No,8,3,4,4,2,2,4851,0,No,22,4,1,4,4,3,3,2,1,2
38,No,7,4,4,2,2,4,4028,0,No,20,4,0,8,2,3,7,7,0,5
29,No,1,4,2,1,1,4,2720,1,No,18,3,1,10,5,3,10,7,2,8
48,No,2,1,2,4,2,2,8120,3,No,12,3,0,12,3,3,2,2,2,2
27,No,3,1,4,4,2,4,4647,1,Yes,20,4,2,6,3,3,6,5,0,4
37,No,10,2,4,4,1,4,4680,3,No,17,3,0,4,2,3,1,0,0,0
50,No,28,1,4,4,1,3,3221,1,Yes,11,3,3,20,3,3,20,8,3,8
34,No,9,3,4,2,3,2,8621,1,No,14,3,0,9,3,4,8,7,7,7
24,Yes,3,2,1,3,2,3,4577,9,No,14,3,0,4,3,3,2,2,2,0
39,No,2,4,4,2,2,3,4553,1,No,11,3,0,20,4,3,20,7,11,10
32,No,10,3,4,3,2,4,5396,1,No,12,3,0,10,2,2,10,7,0,8
50,Yes,8,2,2,3,2,3,6796,3,Yes,14,3,1,18,4,3,4,3,1,3
38,No,1,4,2,4,2,4,7625,0,No,13,3,0,10,4,2,9,7,1,8
27,No,1,2,3,3,3,1,7412,1,No,11,3,0,9,3,3,9,7,0,7
32,No,3,2,3,3,3,4,11159,3,No,15,3,0,10,6,3,7,7,7,7
47,No,14,4,4,3,2,1,4960,2,No,12,3,0,20,2,3,7,7,1,7
40,No,5,4,4,2,3,1,10475,5,Yes,21,4,1,20,2,3,18,13,1,12
53,No,7,3,3,4,4,3,14814,3,No,19,3,0,32,3,3,5,1,1,3
41,No,10,4,2,2,5,4,19141,3,No,15,3,3,23,2,2,21,6,12,6
60,No,16,4,1,3,2,1,5405,8,No,14,3,0,10,1,3,2,2,2,2
27,No,10,2,4,3,3,1,8793,1,No,21,4,2,9,4,2,9,7,1,7
41,No,1,3,4,2,5,3,19189,1,No,12,3,1,22,3,3,22,7,2,10
50,No,8,4,4,3,1,2,3875,7,No,15,3,1,4,2,3,2,2,2,2
28,Yes,1,2,1,1,1,2,2216,7,Yes,13,3,0,10,4,3,7,7,3,7
36,No,8,3,1,4,3,1,11713,9,No,14,3,1,10,2,3,8,7,0,5
38,No,1,3,3,3,3,3,7861,4,Yes,14,3,0,10,4,4,1,0,0,0
44,No,24,3,1,1,1,3,3708,2,No,14,3,0,9,5,3,5,2,1,4
47,No,3,3,4,3,4,3,13770,9,Yes,12,3,2,28,2,2,22,2,11,13
30,No,27,5,3,3,2,4,5304,7,No,23,4,1,10,2,2,8,7,7,7
29,No,10,3,3,3,1,3,2642,1,No,11,3,0,1,6,3,1,0,0,0
42,Yes,19,3,3,4,1,3,2759,6,Yes,12,3,0,7,2,3,2,2,2,2
43,No,15,3,4,2,2,4,6804,3,No,18,3,1,7,5,3,2,2,2,2
34,No,8,2,2,3,2,3,6142,3,No,11,3,0,10,2,3,5,1,4,3
23,No,9,1,2,3,1,1,2500,1,No,14,3,1,5,2,4,4,3,0,2
39,No,3,3,3,4,2,2,6389,9,No,15,3,1,12,3,1,8,3,3,6
56,No,9,3,3,3,4,4,11103,7,No,11,3,0,30,1,2,10,7,1,1
40,No,2,1,4,2,1,4,2342,0,Yes,20,4,0,5,2,2,4,2,2,3
27,No,7,3,4,2,2,1,6811,8,No,19,3,0,9,2,1,7,6,0,7
29,No,10,3,4,3,1,2,2297,1,No,14,3,2,2,2,3,2,2,2,2
53,No,6,3,4,3,2,4,2450,2,No,17,3,0,19,4,3,2,2,2,2
35,No,2,4,4,3,2,1,5093,2,No,11,3,1,16,2,4,1,0,0,0
32,No,24,4,1,3,2,4,5309,1,No,15,3,2,10,2,3,10,8,4,7
38,No,2,5,4,3,1,3,3057,6,Yes,13,3,1,6,0,1,1,0,0,1
34,No,8,5,2,3,2,1,5121,3,No,14,3,1,7,3,3,0,0,0,0
52,No,3,4,3,2,4,1,16856,1,No,11,3,0,34,3,4,34,6,1,16
33,Yes,1,4,4,3,1,4,2686,1,Yes,13,3,0,10,2,2,10,9,7,8
25,No,26,1,3,3,2,4,6180,1,No,23,4,0,6,5,2,6,5,1,4
45,No,2,2,2,1,2,3,6632,0,No,13,3,0,9,3,3,8,7,3,1
23,No,10,1,1,4,1,3,3505,1,No,18,3,0,2,3,3,2,2,0,2
47,Yes,27,2,2,4,2,3,6397,4,Yes,12,3,0,8,2,3,5,4,1,3
34,No,2,3,4,3,2,4,6274,1,No,22,4,0,6,5,3,6,5,1,4
55,Yes,2,3,4,3,5,1,19859,5,Yes,13,3,1,24,2,3,5,2,1,4
36,No,8,4,1,2,3,1,7587,1,No,15,3,0,10,1,3,10,7,0,9
52,No,19,4,4,3,1,4,4258,0,No,18,3,1,5,3,3,4,3,1,2
26,No,1,2,1,1,1,4,4364,3,No,14,3,1,5,2,3,2,2,2,0
29,No,27,3,2,3,2,3,4335,4,No,12,3,1,11,3,2,8,7,1,1
26,Yes,8,3,4,2,2,1,5326,6,No,17,3,0,6,2,2,4,3,1,2
34,No,1,4,2,4,1,4,3280,2,No,16,3,0,10,2,3,4,2,1,3
54,No,19,4,4,3,2,1,5485,9,Yes,11,3,2,9,4,3,5,3,1,4
27,No,8,1,3,3,2,4,4342,0,No,19,3,1,5,3,3,4,2,1,1
37,No,10,1,4,3,1,1,2782,0,Yes,13,3,2,6,3,2,5,3,4,3
38,No,2,4,1,4,2,1,5980,6,Yes,12,3,0,17,2,3,15,7,4,12
34,No,2,4,3,2,1,1,4381,1,No,11,3,0,6,3,3,6,5,1,3
35,No,8,4,1,3,1,4,2572,1,No,16,3,1,3,1,2,3,2,0,2
30,No,1,3,4,1,1,3,3833,3,No,21,4,2,7,2,3,2,2,0,2
40,No,2,2,3,4,2,2,4244,1,No,24,4,1,8,2,3,8,7,3,7
34,No,8,2,3,3,2,1,6500,5,No,17,3,1,6,1,3,3,2,1,2
